date,open,high,low,close,volume,div,split
2026-07-10,170.00,177.00,166.19,168.01,107674700,,
2026-07-13,152.62,162.28,151.30,152.35,57284300,,
2026-07-14,168.11,194.80,165.50,193.92,72647700,,
2026-07-15,181.81,187.95,166.48,176.46,76307700,,
2026-07-16,165.91,168.20,151.38,152.31,56250500,,
2026-07-17,152.11,167.37,145.57,154.03,73978300,,
2026-07-20,163.42,163.43,149.74,151.16,37817500,,
2026-07-21,161.75,173.22,160.54,171.94,38925600,,
2026-07-22,162.16,170.09,162.00,165.27,27122800,,
2026-07-23,170.72,177.93,167.02,169.50,36234900,,
2026-07-24,163.91,164.20,153.10,154.57,26255500,,
2026-07-27,159.70,159.71,139.01,143.02,50747400,,
2026-07-28,135.91,136.49,128.29,130.17,51088300,,
2026-07-29,129.95,137.19,124.80,126.79,65810000,,
2026-07-30,136.51,150.36,134.50,149.00,52881200,,
2026-07-31,159.88,162.65,143.51,143.73,46065100,,
2026-08-03,139.92,144.17,134.58,142.72,29619600,,
2026-08-04,150.18,155.47,146.70,154.38,33929000,,
